Start Training...
========== Hyperparameters ==========
Batch size: 256
Epochs: 20
Optimizer: adam
Learning Rate: 0.001
Number of Parameters: 295770
Number of Trainable Parameters: 295770
=====================================
>>>>> EPOCH 0: validation loss: 2.39, validation accuracy: 9.19%, validation f1: 0.0311 <<<<<
EPOCH 1/20
(75.12s) [19200/40000] loss: 1.4156, acc: 51.9531%, f1: 0.5065
(75.93s) [19456/40000] loss: 1.419, acc: 44.5312%, f1: 0.4396
(76.72s) [19712/40000] loss: 1.3872, acc: 50.0%, f1: 0.4927
(77.51s) [19968/40000] loss: 1.465, acc: 44.5312%, f1: 0.4225
(78.31s) [20224/40000] loss: 1.4277, acc: 48.4375%, f1: 0.485
(79.1s) [20480/40000] loss: 1.3276, acc: 51.1719%, f1: 0.4894
(79.89s) [20736/40000] loss: 1.3465, acc: 50.0%, f1: 0.49
(80.72s) [20992/40000] loss: 1.4478, acc: 46.875%, f1: 0.4558
(81.52s) [21248/40000] loss: 1.3161, acc: 50.7812%, f1: 0.5117
(82.34s) [21504/40000] loss: 1.3821, acc: 50.0%, f1: 0.484
(83.14s) [21760/40000] loss: 1.5377, acc: 50.3906%, f1: 0.5012
(83.94s) [22016/40000] loss: 1.3171, acc: 49.2188%, f1: 0.4877
(84.74s) [22272/40000] loss: 1.3773, acc: 50.0%, f1: 0.5009
(85.53s) [22528/40000] loss: 1.3409, acc: 51.5625%, f1: 0.5211
(86.32s) [22784/40000] loss: 1.3981, acc: 48.8281%, f1: 0.479
(87.11s) [23040/40000] loss: 1.2898, acc: 56.6406%, f1: 0.5426
(87.92s) [23296/40000] loss: 1.4695, acc: 44.1406%, f1: 0.4333
(88.7s) [23552/40000] loss: 1.3437, acc: 46.875%, f1: 0.4628
(89.49s) [23808/40000] loss: 1.3623, acc: 51.1719%, f1: 0.5032
(90.28s) [24064/40000] loss: 1.2835, acc: 52.3438%, f1: 0.5181
(91.07s) [24320/40000] loss: 1.3732, acc: 48.0469%, f1: 0.4646
(91.86s) [24576/40000] loss: 1.473, acc: 44.9219%, f1: 0.4452
(92.66s) [24832/40000] loss: 1.4323, acc: 46.875%, f1: 0.4595
(93.44s) [25088/40000] loss: 1.3108, acc: 49.6094%, f1: 0.495
(94.23s) [25344/40000] loss: 1.405, acc: 49.2188%, f1: 0.4829
(95.02s) [25600/40000] loss: 1.4145, acc: 50.3906%, f1: 0.492
(95.8s) [25856/40000] loss: 1.3175, acc: 50.7812%, f1: 0.4874
(96.59s) [26112/40000] loss: 1.2699, acc: 53.9062%, f1: 0.5263
(97.38s) [26368/40000] loss: 1.203, acc: 55.8594%, f1: 0.5448
(98.16s) [26624/40000] loss: 1.3887, acc: 47.6562%, f1: 0.4663
(98.96s) [26880/40000] loss: 1.3161, acc: 51.5625%, f1: 0.5043
(99.75s) [27136/40000] loss: 1.3187, acc: 51.5625%, f1: 0.5083
(100.54s) [27392/40000] loss: 1.2982, acc: 51.9531%, f1: 0.5143
(101.33s) [27648/40000] loss: 1.332, acc: 51.9531%, f1: 0.52
(102.13s) [27904/40000] loss: 1.3696, acc: 49.2188%, f1: 0.4955
(102.92s) [28160/40000] loss: 1.2217, acc: 57.0312%, f1: 0.5686
(103.71s) [28416/40000] loss: 1.4182, acc: 49.6094%, f1: 0.4872
(104.48s) [28672/40000] loss: 1.3444, acc: 51.5625%, f1: 0.5093
(105.27s) [28928/40000] loss: 1.3752, acc: 50.7812%, f1: 0.5042
(106.06s) [29184/40000] loss: 1.2858, acc: 51.9531%, f1: 0.5129
(106.86s) [29440/40000] loss: 1.3047, acc: 53.5156%, f1: 0.5164
(107.65s) [29696/40000] loss: 1.3208, acc: 52.7344%, f1: 0.514
